,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,", respeitosamente,  propor AÇÃO ORDINÁRIA REVISIONAL DE FINANCIAMENTO DE VEÍCULO c/c CONSIGNAÇÃO EM PAGAMENTO INCIDENTAL, PEDIDO DE ANTECIPAÇÃO DE TUTELA JURISDICIONAL, INAUDITA ALTERA PARS, em face do  BANCO FINASA S/A  pessoa jurídica de direito privado, com inscrição e matricula no Ministério da Fazenda sob o nº CNPJ-57 561 615/0001-04, 980, com sede na cidade de Barueri – SP na Av. Alphaville, n 1.500, piso 3, Centro, com representação em Goiânia(GO) na Rua 9, n 980, Setor Oeste, com fulcro nos artigo 282 e seguintes e 270 e seguintes, art. 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o Código Civil Brasileiro e Código de Defesa do Consumidor, e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:","['artigo 282', 'art. 355', 'art. 844']",[],"['Código Civil', 'Código de Processo Civil']","['CNPJ', 'Av. ', 'Rua']"
1,"– CDC     		  	Sendo perfeitamente comportável a aplicação da teoria da imprevisão amparada pelo Código de Defesa do Consumidor, art. 6º., V, de sorte a  permitir a revisão de contratos de financiamentos/empréstimos com garantia fiduciária ou não, visando os expurgos de cláusulas contratuais que prevê correção monetária, juros remuneratórios, juros capitalizados, comissão de permanência  e outros encargos fora do permitido por Lei ou em descompasso com a realidade do negócio jurídico, em síntese, tudo que  viola dispositivos legais,  ou  comprovado",['art. 6'],[],"['CDC', 'CDC ', 'CDC']",[]
2,"Quanto à natureza dos serviços prestados pelo requerido na situação em exame, o legislador foi expresso ao incluir como objeto da relação de consumo a expressão “natureza bancária”, ao conceituar serviço no § 2° do artigo 3° do CDC.",['artigo 3'],[],"['CDC', 'CDC.', 'CDC']",[]
3,"das S/As) e também prestadores de serviços, de sorte que sempre são considerados fornecedores para o CDC (art. 3°, caput, para o BANCO COMERCIANTE DE PRODUTOS, e art. 3° § 2°, para o BANCO PRESTADOR DE SERVIÇOS).","['art. 3', 'art. 3']",[],"['CDC', 'CDC ', 'CDC', 'ERCIAN']",[]
4,"Dos produtos vendidos pelo banco, o dinheiro tem relevância como bem juridicamente consumível (art. 51, do Código Civil), como são as mercadorias em geral.” (in",['art. 51'],[],['Código Civil'],[]
5,"V e VIII – da lei 8.078/90 e Súmulas 181, 285 e 286 do STJ),  ainda, quando estas cláusulas contratuais forem abusivas e a interpretação de maneira favorável aos aderentes das cláusulas ambíguas, contraditórias e conflitantes, confusas e draconianas (artigos 47 e 54 §§ 2.º  do CDC e artigos 423 e 424 do CCB).","['artigos 47', 'artigos 423']",['lei 8.078/90'],"['CCB', 'CDC', 'CC', 'CDC ', 'CCB', 'CDC']",[]
6,"Ademais, em matéria de juros, os artigos 406, 591 e 2035, parágrafo único da Lei 10.406/02, combinados com os artigos 39, § 4º., da Lei 9.250/95, sugerem a adoção de índices não superiores a taxa referencial do Sistema de Liquidação de Custódia – SELIC – ou mesmo sua taxação em 1% ao mês, conforme dispõe  o art. 161. § 1º do Código Tribunal Nacional.4.","['artigos 406', 'artigos 39', 'art. 161']","['Lei 10.406/02', 'Lei 9.250/95']","['Lei 10.406/02', 'Lei 9']",[]
7,"A capitalização diária e mensal de juros, nas operações em tela, representa verdadeira AGIOTAGEM OSTENSIVA,  contraria as normas do artigo  art. 4º do Decreto-Lei nº 22.626/33 e  fere o CDC, além do que, pela a medida provisória 2.170-36/2001, necessariamente deve conter cláusula expressa no instrumento contratual de capitalização de juros, sendo que caso contrario, afasta tal incidencia.","['artigo ', 'art. 4']",[],"['CDC', 'CDC,', 'CDC']",[]
8,"Assim, mesmo que o banco alege a pertinência da capitalização de juros com periodicidade inferior a 1 (um) ano pela Medida Provisória 1.963-17/2000, atualmente reeditada sob o nº 2.170-36/2001, o seu art. 5º que trata da capitalização de juros está suspensa através da ação direta proposta pelo PL –Partido Liberal, além do que tal incidencia afronta o CDC, por abusividade desta cláusulas, conforme os reiterados julgados, transcritos abaixos:",['art. 5'],[],"['CDC', 'CDC,', 'CDC']",[]
9,"ARTIGO 192, PAR, 3, DA CONSTITUIÇÃO FEDERAL.",['ARTIGO 192'],[],['CONSTITUIÇÃO FEDERAL'],[]
