cod_assunto;cod_item_pai;artigo;dispositivo_legal;nome
899;;7;LICCvB;DIREITO CIVIL
1,721;2,458;458;CLT;Salário In Natura
1,907;2,62;482;CLT;Justa Causa / Falta Grave
2,019;2,662;137;CLT;Fruição / Gozo
2,569;1,855;"CF, Art. 7º, XXVIII; Lei 10406/02, arts. 186, 932; Lei 8213/91, art. 19.";"CF; Lei 10406/02";Acidente de Trabalho
2,661;2,656;118;Lei 8.213/91;Estabilidade Acidentária
2,663;2,662;143;CLT;Abono Pecuniário
2,697;2,458;461;CLT;Salário por Equiparação / Isonomia
3,37;3,369;121, caput;CP;Homicídio Simples
3,371;3,369;121, § 1º;CP;Homicídio Privilegiado
3,372;3,369;121, § 2º;CP;Homicídio Qualificado
3,373;3,369;122;CP;Induzimento, Instigação ou Auxílio a Suicídio
3,375;3,369;123;CP;Infanticídio
3,386;3,385;129, caput;CP;Leve
3,387;3,385;129, § 3º;CP;Seguida de Morte
3,389;3,388;131;CP;Perigo de contágio de moléstia grave
3,39;3,388;132;CP;Perigo para a vida ou saúde de outrem
3,391;3,388;133;CP;Abandono de incapaz
3,392;3,388;135;CP;Omissão de socorro
3,393;3,388;137;CP;Rixa
3,395;3,394;138;CP;Calúnia
3,396;3,394;139;CP;Difamação
3,401;3,4;146;CP;Constrangimento ilegal
3,402;3,4;147;CP;Ameaça
3,403;3,4;148;CP;Seqüestro e cárcere privado
3,404;3,4;149;CP;Redução a condição análoga à de escravo
3,406;3,405;150;CP;Violação de domicílio
3,408;3,407;151, caput;CP;Violação de correspondência
3,409;3,407;151, § 1º, I;CP;Sonegação ou destruição de correspondência
3,41;3,407;art. 151, § 1º, II, III e IV;CP;Violação de comunicação telegráfica, radioelétrica ou telefônica
3,411;3,407;152;CP;Violação de Correspondência comercial
3,413;3,412;153;CP;Divulgação de segredo
3,414;3,412;154;CP;Violação do segredo profissional
3,416;3,415;155;CP;Furto
3,417;3,415;155, § 4o.;CP;Furto Qualificado
3,418;3,415;156;CP;Furto de coisa comum
3,419;3,415;157, caput;CP;Roubo
3,42;3,415;158;CP;Extorsão
3,421;3,415;159;CP;Extorsão mediante seqüestro
3,422;3,415;160;CP;Extorsão indireta
3,423;3,415;161, caput;CP;Alteração de limites
3,424;3,415;161, I;CP;Usurpação de águas
3,425;3,415;161, II e art. 9º;CP e Lei n. 5.741/71;Esbulho possessório
3,426;3,415;163;CP;Dano
3,427;3,415;164;CP;Introdução ou abandono de animais em propriedade alheia
3,428;3,415;165;CP;Dano em coisa de valor artístico, arqueológico ou histórico
3,429;3,415;166;CP;Alteração de local especialmente protegido
3,43;3,415;art. 168-A;CP e Lei 8.212/91;Apropriação indébita Previdenciária
3,431;3,415;171;CP;Estelionato
3,432;3,415;171, 3º;CP;Estelionato Majorado
3,433;3,415;176;CP;Outras fraudes
3,434;3,415;179;CP;Fraude à execução
3,435;3,415;180, caput;CP;Receptação
3,436;3,415;168, caput;CP;Apropriação indébita
3,437;3,415;169;CP;Apropriação de Coisa Havida por Erro, Caso Fortuito ou Força da Natureza
3,443;3,442;art. 184 e art 12;CP e Lei 9.609/98;Violação de direito autoral
3,446;3,445;197;CP;Atentado contra a liberdade de trabalho
3,447;3,445;198;CP;Atentado contra a liberdade de contrato de trabalho e boicotagem violenta
3,448;3,445;199;CP;Atentado contra a liberdade de associação
3,449;3,445;200;CP;Paralisação de trabalho, seguida de violência ou perturbação da ordem
3,45;3,445;201;CP;Paralisação de trabalho de interesse coletivo
3,451;3,445;202;CP;Invasão de estabelecimento industrial, comercial ou agrícola. Sabotagem
3,452;3,445;203;CP;Frustração de direitos assegurados por lei trabalhista
3,453;3,445;205;CP;Exercício de atividade com infração de decisão administrativa
3,454;3,445;206;CP;Aliciamento para fins de emigração
3,455;3,445;207;CP;Aliciamento de trabalhadores de um local para outro do território nacional
3,456;3,445;204;CP;Frustração de lei sobre a nacionalização do trabalho
3,458;3,457;211;CP;Destruição / Subração / Ocultação de Cadáver
3,459;3,457;209;CP;Impedimento ou Perturbação de Cerimônia Funerária
3,46;3,457;212;CP;Vilipêndio a Cadáver
3,461;3,457;210;CP;Violação a Sepultura
3,462;3,457;208;CP;Ultraje / Impedimento ou Perturbação de Culto Religioso
3,465;3,463;213;CP;Estupro
3,466;3,463;214;CP;Atentado Violento ao Pudor
3,467;3,463;Art. 216;CP;Atentado ao Pudor Mediante Fraude
3,468;3,463;Art. 218;CP;Corrupção de Menores
3,469;3,463;233 e 234;CP;Ultraje Público ao Pudor (Ato/Escrito Obsceno)
3,471;3,463;227;CP;Mediação para Servir a Lascívia de Outrem
3,474;3,473;244;CP;Abandono Material
3,475;3,473;246 e 247;CP;Abandono Intelectual
3,476;3,473;245;CP;Entrega de Filho Menor a Pessoa Inidônea
3,479;3,477;235;CP;Bigamia
3,48;3,477;237;CP;Conhecimento Prévio de Impedimento
3,481;3,477;236;CP;Induzimento a erro essencial e ocultação de impedimento
3,482;3,477;239;CP;Simulação de Casamento
3,483;3,477;238;CP;Simulação de Autoridade para Celebração de Casamento
3,485;3,484;242;CP;Parto Suposto
3,486;3,484;241;CP;Registro de Nascimento Inexistente
3,487;3,484;241;CP;Sonegação do Estado de Filiação
3,489;3,488;248;CP;Induzimento a Fuga, Entrega Arbitrária ou Sonegação de Incapazes
3,49;3,488;249;CP;Subtração de Incapazes
3,492;3,491;250;CP;Incêndio
3,493;3,491;251;CP;Explosão
3,494;3,491;252;CP;Uso de gás tóxico ou asfixiante
3,495;3,491;254 e 255;CP;Inundação / Perigo de Inundação
3,496;3,491;256;CP;Desabamento ou desmoronamento
3,497;3,491;257;CP;Subtração, ocultação ou inutilização de material de salvamento
3,498;3,491;259;CP;Difusão de doença ou praga
3,5;3,491;260;CP;Desastre ferroviário / Perigo de Desastre Ferroviário
3,501;3,491;261, 262 e 263;CP;Atentado contra a segurança de transporte público
3,502;3,491;264;CP;Arremesso de projétil
3,503;3,491;265;CP;Atentado contra a segurança de serviços de utilidade pública
3,504;3,491;266;CP;Interrupção /perturbação de serviços telegráficos/telefônicos
3,505;3,491;267;CP;Epidemia
3,506;3,491;274;CP;Emprego de Processo Proibido/Substância não permitida
3,507;3,491;275;CP;Invólucro ou recipiente com falsa indicação
3,508;3,491;273;CP;Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais
3,509;3,491;282;CP;Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica
3,51;3,491;283;CP;Charlatanismo
3,511;3,491;271;CP;Corrupção ou Poluição de Água Potável
3,512;3,491;284;CP;Curandeirismo
3,513;3,491;270;CP;Envenenamento de Água Potável / Substância Alimentícia ou Medicinal
3,514;3,491;272;CP;Falsificação / Corrupção / Adulteração / Alteração de Substância ou Produtos Alimentícios
3,515;3,491;268;CP;Infração de Medida Sanitária Preventiva
3,516;3,491;269;CP;Omissão de Notificação de Doença
3,517;3,491;278;CP;Outras Substâncias Nocivas a Saúde Pública
3,519;3,491;277;CP;Substância Destinada à Falsificação
3,521;3,52;288;CP;Quadrilha ou Bando
3,523;287;287;CP;Crimes contra a Fé Pública
3,524;3,523;289 e parágrafos e 290;CP;Moeda Falsa / Assimilados
3,527;3,523;291;CP;Petrechos para falsificação de moeda
3,528;3,523;292;CP;Emissão de título ao portador sem permissão legal
3,529;3,523;293;CP;Falsificação de papéis públicos
3,53;3,523;296;CP;Falsificação do selo ou sinal público
3,531;3,523;297;CP;Falsificação de documento público
3,532;3,523;298;CP;Falsificação de documento particular
3,533;3,523;299;CP;Falsidade ideológica
3,534;3,523;300;CP;Falso reconhecimento de firma ou letra
3,535;3,523;301, caput;CP;Certidão ou atestado ideologicamente falso
3,536;3,523;art. 301, § 1º;CP;Falsidade material de atestado ou certidão
3,537;3,523;302;CP;Falsidade de atestado médico
3,538;3,523;303;CP;Reprodução ou adulteração de selo ou peça filatélica
3,539;3,523;304;CP;Uso de documento falso
3,54;3,523;305;CP;Supressão de documento
