cod_assunto;cod_item_pai;artigo;dispositivo_legal;nome;glossario
899;;7;LICCvB;DIREITO CIVIL;
1,721;2,458;458;CLT;Salário In Natura;Abrange as discussões referentes a salário in natura, como moradia, alimentação, veículo/transporte etc.
1,907;2,62;482;CLT;Justa Causa / Falta Grave;Apenas para ações movidas pelo empregador com pedido de declaração de reconhecimento de justa causa.
2,019;2,662;137;CLT;Fruição / Gozo;Pedido exclusivo de fixação da época do gozo das férias, quando ultrapassado o período concessivo.
2,569;1,855;"CF, Art. 7º, XXVIII; Lei 10406/02, arts. 186, 932; Lei 8213/91, art. 19.";"CF; Lei 10406/02";Acidente de Trabalho;<<p>> Assunto marcado para a Justi&ça Estadual apenas para registro das a&ç&ões residuais, ap&ós a decis&ão do STF que reconheceu a compet&ência material da Justi&ça do Trabalho.<</p>>
2,661;2,656;118;Lei 8.213/91;Estabilidade Acidentária;
2,663;2,662;143;CLT;Abono Pecuniário;Pedido referente à conversão pecuniária das férias,prevista no artigo 143 da CLT.
2,697;2,458;461;CLT;Salário por Equiparação / Isonomia;
3,37;3,369;121, caput;CP;Homicídio Simples;Art 121. Matar alguem: Pena - reclusão, de seis a vinte anos
3,371;3,369;121, § 1º;CP;Homicídio Privilegiado;Art 121. Matar alguem: Pena - reclusão, de seis a vinte anos. Caso de diminuição de pena § 1º Se o agente comete o crime impelido por motivo de relevante valor social ou moral, ou sob o domínio de violenta emoção, logo em seguida a injusta provocação da vítima, ou juiz pode reduzir a pena de um sexto a um terço.
3,372;3,369;121, § 2º;CP;Homicídio Qualificado;"Homicídio qualificado § 2° Se o homicídio é cometido: I - mediante paga ou promessa de recompensa, ou por outro motivo torpe; II - por motivo futil; III - com emprego de veneno, fogo, explosivo, asfixia, tortura ou outro meio insidioso ou cruel, ou de que possa resultar perigo comum; IV - à traição, de emboscada, ou mediante dissimulação ou outro recurso que dificulte ou torne impossivel a defesa do ofendido; V - para assegurar a execução, a ocultação, a impunidade ou vantagem de outro crime: Pena - reclusão, de doze a trinta anos."
3,373;3,369;122;CP;Induzimento, Instigação ou Auxílio a Suicídio;"Induzimento, instigação ou auxílio a suicídio Art. 122 - Induzir ou instigar alguém a suicidar-se ou prestar-lhe auxílio para que o faça: Pena - reclusão, de dois a seis anos, se o suicídio se consuma; ou reclusão, de um a três anos, se da tentativa de suicídio resulta lesão corporal de natureza grave. Parágrafo único - A pena é duplicada: Aumento de pena I - se o crime é praticado por motivo egoístico; II - se a vítima é menor ou tem diminuída, por qualquer causa, a capacidade de resistência."
3,375;3,369;123;CP;Infanticídio;Art. 123 - Matar, sob a influência do estado puerperal, o próprio filho, durante o parto ou logo após: Pena - detenção, de dois a seis anos.
3,386;3,385;129, caput;CP;Leve;Art. 129. Ofender a integridade corporal ou a saúde de outrem: Pena - detenção, de três meses a um ano.
3,387;3,385;129, § 3º;CP;Seguida de Morte;Art. 129. Ofender a integridade corporal ou a saúde de outrem: Pena - detenção, de três meses a um ano. § 3° Se resulta morte e as circunstâncias evidenciam que o agente não quís o resultado, nem assumiu o risco de produzí-lo: Pena - reclusão, de quatro a doze anos.
3,389;3,388;131;CP;Perigo de contágio de moléstia grave;Art. 131 - Praticar, com o fim de transmitir a outrem moléstia grave de que está contaminado, ato capaz de produzir o contágio: Pena - reclusão, de um a quatro anos, e multa.
3,39;3,388;132;CP;Perigo para a vida ou saúde de outrem;Perigo para a vida ou saúde de outrem Art. 132 - Expor a vida ou a saúde de outrem a perigo direto e iminente: Pena - detenção, de três meses a um ano, se o fato não constitui crime mais grave. Parágrafo único. A pena é aumentada de um sexto a um terço se a exposição da vida ou da saúde de outrem a perigo decorre do transporte de pessoas para a prestação de serviços em estabelecimentos de qualquer natureza, em desacordo com as normas legais. (Incluído pela Lei nº 9.777, de 29.12.1998)
3,391;3,388;133;CP;Abandono de incapaz;"Abandono de incapaz Art. 133 - Abandonar pessoa que está sob seu cuidado, guarda, vigilância ou autoridade, e, por qualquer motivo, incapaz de defender-se dos riscos resultantes do abandono: Pena - detenção, de seis meses a três anos. § 1º - Se do abandono resulta lesão corporal de natureza grave: Pena - reclusão, de um a cinco anos. § 2º - Se resulta a morte: Pena - reclusão, de quatro a doze anos. Aumento de pena § 3º - As penas cominadas neste artigo aumentam-se de um terço: I - se o abandono ocorre em lugar ermo; II - se o agente é ascendente ou descendente, cônjuge, irmão, tutor ou curador da vítima. III ? se a vítima é maior de 60 (sessenta) anos (Incluído pela Lei nº 10.741, de 2003)"
3,392;3,388;135;CP;Omissão de socorro;"Omissão de socorro Art. 135 - Deixar de prestar assistência, quando possível fazê-lo sem risco pessoal, à criança abandonada ou extraviada, ou à pessoa inválida ou ferida, ao desamparo ou em grave e iminente perigo; ou não pedir, nesses casos, o socorro da autoridade pública: Pena - detenção, de um a seis meses, ou multa. Parágrafo único - A pena é aumentada de metade, se da omissão resulta lesão corporal de natureza grave, e triplicada, se resulta a morte."
3,393;3,388;137;CP;Rixa;Rixa Art. 137 - Participar de rixa, salvo para separar os contendores: Pena - detenção, de quinze dias a dois meses, ou multa. Parágrafo único - Se ocorre morte ou lesão corporal de natureza grave, aplica-se, pelo fato da participação na rixa, a pena de detenção, de seis meses a dois anos.
3,395;3,394;138;CP;Calúnia;"Calúnia Art. 138 - Caluniar alguém, imputando-lhe falsamente fato definido como crime: Pena - detenção, de seis meses a dois anos, e multa. § 1º - Na mesma pena incorre quem, sabendo falsa a imputação, a propala ou divulga. § 2º - É punível a calúnia contra os mortos. Exceção da verdade § 3º - Admite-se a prova da verdade, salvo: I - se, constituindo o fato imputado crime de ação privada, o ofendido não foi condenado por sentença irrecorrível; II - se o fato é imputado a qualquer das pessoas indicadas no nº I do art. 141; III - se do crime imputado, embora de ação pública, o ofendido foi absolvido por sentença irrecorrível."
3,396;3,394;139;CP;Difamação;Difamação Art. 139 - Difamar alguém, imputando-lhe fato ofensivo à sua reputação: Pena - detenção, de três meses a um ano, e multa. Exceção da verdade Parágrafo único - A exceção da verdade somente se admite se o ofendido é funcionário público e a ofensa é relativa ao exercício de suas funções.
3,401;3,4;146;CP;Constrangimento ilegal;"Constrangimento ilegal Art. 146 - Constranger alguém, mediante violência ou grave ameaça, ou depois de lhe haver reduzido, por qualquer outro meio, a capacidade de resistência, a não fazer o que a lei permite, ou a fazer o que ela não manda: Pena - detenção, de três meses a um ano, ou multa. Aumento de pena § 1º - As penas aplicam-se cumulativamente e em dobro, quando, para a execução do crime, se reúnem mais de três pessoas, ou há emprego de armas. § 2º - Além das penas cominadas, aplicam-se as correspondentes à violência. § 3º - Não se compreendem na disposição deste artigo: I - a intervenção médica ou cirúrgica, sem o consentimento do paciente ou de seu representante legal, se justificada por iminente perigo de vida; II - a coação exercida para impedir suicídio."
3,402;3,4;147;CP;Ameaça;Ameaça Art. 147 - Ameaçar alguém, por palavra, escrito ou gesto, ou qualquer outro meio simbólico, de causar-lhe mal injusto e grave: Pena - detenção, de um a seis meses, ou multa. Parágrafo único - Somente se procede mediante representação.
